# INI Master text for translation.
#
# Copy this file to INIMaster.<language>.txt, for example INIMaster.de.txt
# or INIMaster.pt-br.txt, and write each translation after the tab at the
# end of its line. \n is a line break. Lines starting with # are ignored.
# A line left empty after the tab keeps the English.
#
# Keep every {0}, {1} and so on. Their order may change, but a line that
# adds or drops one is skipped when the file loads, since it would show
# the wrong values.
#
# Put the finished file in %LOCALAPPDATA%\INIMaster\lang, or in a lang
# folder next to INIMaster.exe, then pick the language under More >
# Language. docs/TRANSLATING.md has the rest.
 (bundled with INI Master)	 （隨 INI Master 一同提供）
Save as I edit	編輯時自動儲存
Save text	儲存文字
Save this ini (Ctrl+S). Ctrl+Shift+S saves every file with changes.	儲存此 ini (Ctrl+S)。Ctrl+Shift+S 會儲存所有有變更的檔案。
Saved {0} as text.	已將 {0} 儲存為文字。
Saved {0} to {1} at {2}.	已在 {2} 將 {0} 儲存到 {1}。
Settings	設定
Settings the mod maker marked as advanced.	模組作者標記為進階的設定。
Show advanced	顯示進階設定
Show ini files without a plugin	顯示沒有外掛程式的 ini 檔案
Skipped {0}: {1}	已略過 {0}：{1}
Some changes were not saved ({0}).\n\n{1}\n\nFix them, or choose No next time to discard them.	有些變更未儲存（{0}）。\n\n{1}\n\n請修正這些問題，或下次選擇「否」以捨棄這些變更。
Something went wrong:\n\n{0}	發生問題：\n\n{0}
Stored as a hex virtual-key code.	以十六進位虛擬鍵碼儲存。
Stored as a key name. Ctrl, Shift and Alt combine with +.	以按鍵名稱儲存。Ctrl、Shift 和 Alt 使用 + 組合。
Stored as a virtual-key code.	以虛擬鍵碼儲存。
Takes effect the next time the game starts.	下次啟動遊戲時生效。
The comments mention {0} to {1}.	註解中提到的範圍是 {0} 到 {1}。
The file does not have this key. Changing it adds the key.	檔案中沒有此鍵。修改它會將該鍵加入檔案。
The file exactly as it is on disk. Edits here are saved as typed, comments and all.	這裡顯示磁碟上檔案的原始內容。在此處的編輯會依輸入內容原樣儲存，包括註解。
The game is running and this plugin rereads its ini, so saved changes apply in game within a moment.	遊戲正在執行，而且此外掛程式會重新讀取其 ini，因此已儲存的變更很快就會在遊戲中生效。
The game is running, but this plugin reads its ini only at startup. Changes save now and apply the next time the game starts.	遊戲正在執行，但此外掛程式只在啟動時讀取其 ini。變更會立即儲存，並在下次啟動遊戲時生效。
The game is running. INI Master saves straight to the file; whether the game notices before a restart depends on the plugin, and this one does not say.	遊戲正在執行。INI Master 會直接儲存到檔案；遊戲能否在重新啟動前偵測到變更取決於外掛程式，而此外掛程式未說明。
The game is running. If the plugin only reads its ini at startup, the change applies next launch.	遊戲正在執行。如果外掛程式只在啟動時讀取其 ini，則變更會在下次啟動時生效。
The highest allowed is {0}.	允許的最大值為 {0}。
The lowest allowed is {0}.	允許的最小值為 {0}。
The mod maker added help for INI Master.	模組作者已為 INI Master 新增說明。
The plugin rereads it while the game runs.	外掛程式會在遊戲執行時重新讀取它。
The plugin rereads this while the game runs.	外掛程式會在遊戲執行時重新讀取此項。
There are unsaved changes ({0}). Save them first?	有未儲存的變更（{0}）。要先儲存嗎？
This plugin reads its ini at startup, so restart the game to apply it.	此外掛程式在啟動時讀取其 ini，因此請重新啟動遊戲以套用變更。
This plugin reads the setting at startup. Saving works now; restart the game to see it.	此外掛程式在啟動時讀取此設定。現在可以儲存；請重新啟動遊戲以查看效果。
Translate INI Master...	翻譯 INI Master...
Type: {0}	類型：{0}
Type: {0}, guessed from the value and comments	類型：{0}，根據值和註解推測
Undo this change (back to the value in the file)	復原此變更（回到檔案中的值）
Undo unsaved changes in this file	復原此檔案中未儲存的變更
Unsaved changes	未儲存的變更
Windows refused to write {0}. If the game is under Program Files, run INI Master as administrator, or clear the file's read-only flag.	Windows 拒絕寫入 {0}。如果遊戲位於 Program Files 下，請以系統管理員身分執行 INI Master，或取消檔案的唯讀屬性。
Write each change to the ini a moment after you make it, so a plugin that rereads its ini picks it up while you play.	每次變更後稍等片刻便將其寫入 ini，這樣會重新讀取 ini 的外掛程式就能在你遊玩時偵測到變更。
Writes {0} for on and {1} for off.	開啟時寫入 {0}，關閉時寫入 {1}。
Wrote {0}. Edit it, then ship it next to the ini or embed it in the plugin.	已寫入 {0}。編輯它，然後將其與 ini 一同發佈，或內嵌於外掛程式中。
an .inimeta file	一個 .inimeta 檔案
any	任意
by {0}	由 {0}
choice	選項
embedded marker	內嵌標記
key	按鍵
no ini	無 ini
not in file	不在檔案中
nothing, the type is a guess	無，類型為推測結果
number	數字
on or off	開啟或關閉
resource {0}	資源 {0}
text	文字
the ini's comments	ini 的註解
the ini's own comments	ini 本身的註解
the plugin's embedded metadata	外掛程式的內嵌中繼資料
whole number	整數
{0} (missing)	{0}（缺少）
{0} changed on disk and was reloaded.	磁碟上的 {0} 已變更並重新載入。
{0} changes	{0} 項變更
{0} does not exist yet. Most plugins write their ini the first time the game runs with them.	{0} 尚不存在。大多數外掛程式會在遊戲首次載入它們執行時寫入自己的 ini。
{0} does not exist yet. The plugin may write it on its first run, or you can create it now from the defaults it describes.	{0} 尚不存在。外掛程式可能會在首次執行時寫入它，也可以現在根據其描述的預設值建立。
{0} is not in that folder or in a bin64 folder inside it.	該資料夾或其內的 bin64 資料夾中沒有 {0}。
{0} is saved as {1}, which has no "{2}".	{0} 使用 {1} 編碼儲存，而該編碼不包含「{2}」。
{0} is saved as {1}, which has no "{2}". Use other characters, or convert the file to UTF-8 in a text editor.	{0} 使用 {1} 編碼儲存，而該編碼不包含「{2}」。請使用其他字元，或在文字編輯器中將檔案轉換為 UTF-8。
{0} other ini files	{0} 個其他 ini 檔案
{0} plugins	{0} 個外掛程式
{0} unsaved changes	{0} 項未儲存的變更
{0}, no plugin	{0}，無外掛程式

# 以下是 1.2.3 新增的文字，由機器翻譯，歡迎指正。
Asking GitHub for the newest version...	正在向 GitHub 查詢最新版本...
Check for updates	檢查更新
Check when INI Master starts	啟動 INI Master 時檢查
Could not check for updates: {0}	無法檢查更新：{0}
Could not install the update: {0}	無法安裝更新：{0}
Downloading INI Master {0}, {1}%	正在下載 INI Master {0}，{1}%
INI Master {0} is out. You have {1}.\n\n{2}\n\nDownload and install it now?	INI Master {0} 已發佈，你目前使用的是 {1}。\n\n{2}\n\n要立即下載並安裝嗎？
INI Master {0} is out. You have {1}.\n\n{2}\n\nThis copy cannot replace itself, so open the download page?	INI Master {0} 已發佈，你目前使用的是 {1}。\n\n{2}\n\n這個複本無法自行更新，要開啟下載頁面嗎？
INI Master {0} is the newest version.	INI Master {0} 已是最新版本。
Installing INI Master {0}...	正在安裝 INI Master {0}...
Staying on {0}. More, Check for updates asks again.	維持 {0}。「更多」中的「檢查更新」會再次詢問。
The ini's own comments are not used.	不使用 ini 本身的註解。
