# INI Master auf Deutsch (de). Maschinelle Übersetzung, noch von keinem
# Muttersprachler geprüft. Korrekturen sind willkommen, auf GitHub
# (github.com/shin2344234/ini-master).
#
# Eine Zeile pro Text: das englische Original, ein Tabulator, dann die
# Übersetzung. \n steht für einen Zeilenumbruch. Zeilen, die mit # beginnen,
# werden ignoriert. Bleibt eine Zeile nach dem Tabulator leer, wird weiter
# der englische Text angezeigt.
#
# Jedes {0}, {1} und so weiter muss erhalten bleiben. Die Reihenfolge darf
# sich ändern, aber eine Zeile, der einer fehlt oder die einen zu viel hat,
# wird beim Laden übersprungen.
#
# Diese Datei ist in INIMaster.exe eingebaut. Eine Datei mit diesem Namen in
# %LOCALAPPDATA%\INIMaster\lang oder neben der exe hat Vorrang.

 (bundled with INI Master)	 (mit INI Master geliefert)
Range: {0} to {1}, read from the comments and not enforced	Bereich: {0} bis {1}, aus den Kommentaren gelesen und nicht erzwungen
Rescan plugins	Plugins neu einlesen
Same as Windows: {0}	Wie Windows: {0}
Save	Speichern
Save a metadata template for this ini	Metadaten-Vorlage für diese INI speichern
Save all files	Alle Dateien speichern
Save as I edit	Beim Bearbeiten speichern
Save text	Text speichern
Save this ini (Ctrl+S). Ctrl+Shift+S saves every file with changes.	Diese INI speichern (Strg+S). Strg+Umschalt+S speichert jede geänderte Datei.
Saved {0} as text.	{0} als Text gespeichert.
Saved {0} to {1} at {2}.	{0} um {2} in {1} gespeichert.
Settings	Einstellungen
Settings the mod maker marked as advanced.	Einstellungen, die der Mod-Autor als erweitert markiert hat.
Show advanced	Erweiterte anzeigen
Show ini files without a plugin	INI-Dateien ohne Plugin anzeigen
Skipped {0}: {1}	{0} übersprungen: {1}
Some changes were not saved ({0}).\n\n{1}\n\nFix them, or choose No next time to discard them.	Einige Änderungen wurden nicht gespeichert ({0}).\n\n{1}\n\nKorrigiere sie oder wähle beim nächsten Mal Nein, um sie zu verwerfen.
Something went wrong:\n\n{0}	Etwas ist schiefgelaufen:\n\n{0}
Staying on {0}. More, Check for updates asks again.	Es bleibt bei {0}. Mehr, Nach Updates suchen fragt erneut.
Stored as a hex virtual-key code.	Gespeichert als hexadezimaler Virtual-Key-Code.
Stored as a key name. Ctrl, Shift and Alt combine with +.	Gespeichert als Tastenname. Ctrl, Shift und Alt werden mit + verbunden.
Stored as a virtual-key code.	Gespeichert als Virtual-Key-Code.
Takes effect the next time the game starts.	Wirkt beim nächsten Spielstart.
The comments mention {0} to {1}.	Die Kommentare nennen {0} bis {1}.
The file does not have this key. Changing it adds the key.	Die Datei enthält diesen Schlüssel nicht. Eine Änderung fügt ihn hinzu.
The file exactly as it is on disk. Edits here are saved as typed, comments and all.	Die Datei genau so, wie sie auf der Festplatte liegt. Änderungen hier werden so gespeichert, wie sie getippt sind, samt Kommentaren.
The game is running and this plugin rereads its ini, so saved changes apply in game within a moment.	Das Spiel läuft und dieses Plugin liest seine INI neu ein, gespeicherte Änderungen wirken also nach einem Moment im Spiel.
The game is running, but this plugin reads its ini only at startup. Changes save now and apply the next time the game starts.	Das Spiel läuft, aber dieses Plugin liest seine INI nur beim Start. Änderungen werden jetzt gespeichert und wirken beim nächsten Spielstart.
The game is running. INI Master saves straight to the file; whether the game notices before a restart depends on the plugin, and this one does not say.	Das Spiel läuft. INI Master speichert direkt in die Datei. Ob das Spiel das vor einem Neustart bemerkt, hängt vom Plugin ab, und dieses gibt es nicht an.
The game is running. If the plugin only reads its ini at startup, the change applies next launch.	Das Spiel läuft. Liest das Plugin seine INI nur beim Start, wirkt die Änderung beim nächsten Start.
The highest allowed is {0}.	Der höchste erlaubte Wert ist {0}.
The ini's own comments are not used.	Die eigenen Kommentare der INI werden nicht verwendet.
The lowest allowed is {0}.	Der niedrigste erlaubte Wert ist {0}.
The mod maker added help for INI Master.	Der Mod-Autor hat Hilfe für INI Master hinzugefügt.
The plugin rereads it while the game runs.	Das Plugin liest sie neu ein, während das Spiel läuft.
The plugin rereads this while the game runs.	Das Plugin liest dies neu ein, während das Spiel läuft.
There are unsaved changes ({0}). Save them first?	Es gibt ungespeicherte Änderungen ({0}). Zuerst speichern?
This plugin reads its ini at startup, so restart the game to apply it.	Dieses Plugin liest seine INI beim Start. Starte das Spiel neu, damit sie wirkt.
This plugin reads the setting at startup. Saving works now; restart the game to see it.	Dieses Plugin liest die Einstellung beim Start. Speichern geht sofort, sichtbar wird sie nach einem Neustart des Spiels.
Translate INI Master...	INI Master übersetzen...
Type: {0}	Typ: {0}
Type: {0}, guessed from the value and comments	Typ: {0}, aus Wert und Kommentaren geraten
Undo this change (back to the value in the file)	Diese Änderung rückgängig machen (zurück zum Wert in der Datei)
Undo unsaved changes in this file	Ungespeicherte Änderungen in dieser Datei rückgängig machen
Unsaved changes	Ungespeicherte Änderungen
Windows refused to write {0}. If the game is under Program Files, run INI Master as administrator, or clear the file's read-only flag.	Windows hat das Schreiben von {0} verweigert. Liegt das Spiel unter Programme, starte INI Master als Administrator oder entferne den Schreibschutz der Datei.
Write each change to the ini a moment after you make it, so a plugin that rereads its ini picks it up while you play.	Jede Änderung kurz danach in die INI schreiben, damit ein Plugin, das seine INI neu einliest, sie schon während des Spielens übernimmt.
Writes {0} for on and {1} for off.	Schreibt {0} für an und {1} für aus.
Wrote {0}. Edit it, then ship it next to the ini or embed it in the plugin.	{0} wurde geschrieben. Bearbeite sie und liefere sie dann neben der INI aus oder bette sie ins Plugin ein.
an .inimeta file	eine .inimeta-Datei
any	beliebig
by {0}	von {0}
choice	Auswahl
embedded marker	eingebettete Markierung
key	Taste
no ini	keine INI
not in file	nicht in der Datei
nothing, the type is a guess	nichts, der Typ ist geraten
number	Zahl
on or off	an oder aus
resource {0}	Ressource {0}
text	Text
the ini's comments	die Kommentare der INI
the ini's own comments	den eigenen Kommentaren der INI
the plugin's embedded metadata	die eingebetteten Metadaten des Plugins
whole number	ganze Zahl
{0} (missing)	{0} (fehlt)
{0} changed on disk and was reloaded.	{0} wurde auf der Festplatte geändert und neu geladen.
{0} changes	{0} Änderungen
{0} does not exist yet. Most plugins write their ini the first time the game runs with them.	{0} gibt es noch nicht. Die meisten Plugins schreiben ihre INI beim ersten Spielstart mit ihnen.
{0} does not exist yet. The plugin may write it on its first run, or you can create it now from the defaults it describes.	{0} gibt es noch nicht. Das Plugin schreibt sie vielleicht beim ersten Start, oder du erstellst sie jetzt aus den Standardwerten, die es beschreibt.
{0} is not in that folder or in a bin64 folder inside it.	{0} liegt weder in diesem Ordner noch in einem bin64-Ordner darin.
{0} is saved as {1}, which has no "{2}".	{0} ist als {1} gespeichert, und das kennt kein "{2}".
{0} is saved as {1}, which has no "{2}". Use other characters, or convert the file to UTF-8 in a text editor.	{0} ist als {1} gespeichert, und das kennt kein "{2}". Verwende andere Zeichen oder wandle die Datei in einem Texteditor in UTF-8 um.
{0} other ini files	{0} weitere INI-Dateien
{0} plugins	{0} Plugins
{0} unsaved changes	{0} ungespeicherte Änderungen
{0}, no plugin	{0}, kein Plugin
